title,district,estate,unit_info,price,price_raw,build_area,usable_area,rooms,facing,property_type,decoration,views,features,agent,posted_time,url,year_built,yun,estate_facing
20/6*業主割愛蝕讓 收租自住佳宜*歡迎約睇,旺角,利晴灣23,利．晴灣23 中層 A室,430,售 $430 萬元,,276,,子山午向,私人屋苑,豪華裝修,開揚景,,美聯物業,3分鐘前,https://www.28hse.com/buy/apartment/property-3899396,,,子山午向
(凱樂智選)兩房放盤!可以約睇!,荃灣,尚翠苑,B座 高層 7室,483,售 $483 萬元,,441,2房,子山午向,居屋,雅緻裝修,開揚景,,凱樂物業有限公司,11分鐘前,https://www.28hse.com/buy/apartment/property-3899374,2017,八運,子山午向
**3房2厠 **罕有性價比高單位 *用家至愛！,天水圍,嘉湖山莊,第5期(麗湖居) 10座 中層,498,售 $498 萬元,,630,3房,乾山巽向,私人屋苑,基本裝修,園景,,中原地產,12分鐘前,https://www.28hse.com/buy/apartment/property-3899372,1992,七運,乾山巽向
【中原主區】優皮至愛！靚裝西南高層海景,深井(荃灣),豪景花園,第二期 第二期 9座 (雅仕閣) 高層 C室,600,售 $600 萬元,,715,2房,子山午向,私人屋苑,雅緻裝修,,,中原地產,13分鐘前,https://www.28hse.com/buy/apartment/property-3899371,,,子山午向
激筍三房推介 業主割愛 還價即成,奧運,維港灣,7座 高層 F室,2050,"售 $2,050 萬元",,904,3房,子山午向,私人屋苑,,開揚景,,美聯物業代理有限公司,13分鐘前,https://www.28hse.com/buy/apartment/property-3899369,2000,七運,子山午向
新都城1期兩房上車盤 ，有匙引看，有誠意可以倾價。,寶琳,新都城,1期 第一期 3座 中層 B室,620,售 $620 萬元,,364,2房,午山子向,私人屋苑,雅緻裝修,,,美聯物業代理有限公司,16分鐘前,https://www.28hse.com/buy/apartment/property-3899363,1996,七運,午山子向
珀麗灣 ·東南開揚園景 投資自用之選（香港置業好推介）歡迎查詢 Ray Lam,馬灣,珀麗灣,第3期 19座 中層 E室,520,售 $520 萬元,,490,2房,乾山巽向,私人屋苑,,園景,,香港置業,17分鐘前,https://www.28hse.com/buy/apartment/property-3899361,,,乾山巽向
筍 嘉湖兩房價錢買三房 近西鐵及輕鐵 交通方便,天水圍,嘉湖山莊,第1期(樂湖居) 3座 低層,450,售 $450 萬元,,548,3房,乾山巽向,私人屋苑,,,近地鐵站,中原地產,24分鐘前,https://www.28hse.com/buy/apartment/property-3899344,1992,七運,乾山巽向
青怡花園中層開揚兩房 雅緻企理裝修 可約睇 價錢可議,青衣,青怡花園,1座 中層 A室,500,售 $500 萬元,,343,2房,子山午向,私人屋苑,,園景|開揚景,有會所|近地鐵站|近大型商場|優質校網,利嘉閣地產有限公司,31分鐘前,https://www.28hse.com/buy/apartment/property-3899323,1986,,子山午向
粉嶺 牽晴間 | 11座 中層 C室,粉嶺,牽晴間,11座 中層 C室,498,售 $498 萬元,,401,2房,乾山巽向,私人屋苑,,,,中原地產,39分鐘前,https://www.28hse.com/buy/apartment/property-3899302,,,乾山巽向
明翹匯底層開揚池景一房 清幽山景 可約睇,青衣,明翹匯,2座 低層 G室,468,售 $468 萬元,,299,1房,卯山酉向,私人屋苑,,山景|園景|泳池景,有會所|近大型商場|有露台,利嘉閣地產有限公司,40分鐘前,https://www.28hse.com/buy/apartment/property-3899297,,,卯山酉向
大圍 名城 | 1期 5座 高層,大圍,名城,1期 5座 高層,1290,"售 $1,290 萬元",,679,3房,卯山酉向,私人屋苑,,,,利嘉閣地產有限公司,42分鐘前,https://www.28hse.com/buy/apartment/property-3899294,2011,,卯山酉向
海欣花園超筍高層開揚兩房 企理裝修 即約即睇,青衣,海欣花園,3座 高層 H室,678,售 $678 萬元,,507,2房,子山午向,私人屋苑,雅緻裝修,開揚景|樓景,有會所|近地鐵站|近大型商場|優質校網,利嘉閣地產有限公司,47分鐘前,https://www.28hse.com/buy/apartment/property-3899278,2000,,子山午向
【可試$760萬】獨家盤【有票盡傾】,荔枝角,宇晴軒,7座 中層 E室,778,售 $778 萬元,,445,2房,午山子向,私人屋苑,,山景,,美聯物業代理有限公司,50分鐘前,https://www.28hse.com/buy/apartment/property-3899269,2004,,午山子向
"未補地價 3 房 , 1 浴室 向東 居屋 望開揚景 豪華裝修",南昌,凱德苑,中層 4室,680,售 $680 萬元,,522,3房,子山午向,居屋,豪華裝修,開揚景,,凱樂物業有限公司,53分鐘前,https://www.28hse.com/buy/apartment/property-3899264,,,子山午向
天水圍 嘉湖山莊 | 第1期(樂湖居) 3座 高層 F室,天水圍,嘉湖山莊,第1期(樂湖居) 3座 高層 F室,428,售 $428 萬元,,449,2房,乾山巽向,私人屋苑,,山景|開揚景|市景,獨家盤,美联物业,55分鐘前,https://www.28hse.com/buy/apartment/property-3899258,1992,七運,乾山巽向
"2 房 , 1 浴室 向西 私人屋苑 新鴻基",荔枝角,宇晴軒,3座 高層,850,售 $850 萬元,,441,2房,卯山酉向,私人屋苑,,,,利嘉閣地產有限公司,1小時前,https://www.28hse.com/buy/apartment/property-3899245,2004,,卯山酉向
[ 附雅緻裝修+約睇] 港鐵旁上車首選！嘉輝花園 高層開揚一房 業主換樓誠售,堅尼地城,嘉輝花園,C座 高層,488,售 $488 萬元,,281,1房,乾山巽向,私人屋苑,雅緻裝修,開揚景|市景,,智高物業,1小時前,https://www.28hse.com/buy/apartment/property-3899228,,,乾山巽向
真盤*基座商場*開揚3房，地鐵站生活便利 *真盤皇*JACKIE WONG小姐,將軍澳,將軍澳中心,第一期 8座 低層 A室,880,售 $880 萬元,,541,3房,卯山酉向,私人屋苑,,,,中原地產代理有限公司,1小時前,https://www.28hse.com/buy/apartment/property-3899218,2001,七運,卯山酉向
元朗 蝶翠峰 | 第五期(尚悅‧嶺) 1座 低層 A室,元朗,蝶翠峰,第五期(尚悅‧嶺) 1座 低層 A室,435,售 $435 萬元,,378,2房,卯山酉向,私人屋苑,雅緻裝修,,,美聯物業代理有限公司,1小時前,https://www.28hse.com/buy/apartment/property-3899207,2007,八運,卯山酉向
3 房 向西北 私人屋苑 新世界,屯門,天生樓,中層 D室,850,售 $850 萬元,,745,3房,卯山酉向,私人屋苑,,,,美聯物業,1小時前,https://www.28hse.com/buy/apartment/property-3899199,,,卯山酉向
真盤源 Angel推介見票有驚喜驚喜驚喜，驚喜，驚喜落成四年新樓望住啟德河,啟德,Monaco,第1期 2B座 中層 B室,1250,"售 $1,250 萬元",,480,2房,午山子向,私人屋苑,雅緻裝修,,,利嘉閣地產,1小時前,https://www.28hse.com/buy/apartment/property-3899184,,,午山子向
[日訊物業海之戀佣金回贈計劃] 獨家只得我地有 超大三房套,荃灣,海之戀,‧愛炫美 1座 低層,1500,"售 $1,500 萬元",,807,3房,子山午向,私人屋苑,雅緻裝修,樓景|海景,有會所|近地鐵站|有露台,日訊物業代理有限公司,2小時前,https://www.28hse.com/buy/apartment/property-3899175,2018,,子山午向
(業主底價$860萬）東南海景樓 靚仔真實盤 可以約到睇樓，不是凶宅，超底水荀盤,將軍澳,將軍澳中心,第二期 2座 中層 C室,957,售 $957 萬元,,677,3房,卯山酉向,私人屋苑,,,,中原地產,2小時前,https://www.28hse.com/buy/apartment/property-3899171,2001,七運,卯山酉向
