name,district,facing,year_built,yun,property_type,address,confidence
澐璟,啟德,卯山酉向,2024,九運,住宅,啟德承啟道,high
MIAMI QUAY,啟德,子山午向,2023,八運,住宅,啟德承豐道,high
嘉峯匯,啟德,子山午向,2021,八運,住宅,啟德沐泰街,high
維港1號,啟德,午山子向,2023,八運,住宅,啟德沐泰街,high
龍譽,啟德,子山午向,2019,八運,住宅,啟德沐寧街,high
皓畋,何文田,子山午向,2017,八運,住宅,何文田常富街,high
瑜一,何文田,卯山酉向,2024,九運,住宅,何文田忠孝街,high
朗賢峯,何文田,子山午向,2024,九運,住宅,何文田忠孝街,high
揚海,黃竹坑,子山午向,2023,八運,住宅,黃竹坑香葉道,high
海盈山,黃竹坑,午山子向,2024,九運,住宅,黃竹坑香葉道,high
BLUE COAST,黃竹坑,卯山酉向,2024,九運,住宅,黃竹坑香葉道,high
曉峰閣,中半山,子山午向,1996,七運,住宅,中半山寶雲道,high
寶翠園,西半山,子山午向,2000,七運,住宅,西半山薄扶林道,high
西浦,西半山,子山午向,2013,八運,住宅,西半山皇后大道西,high
星鑽,西半山,子山午向,2019,八運,住宅,西半山皇后大道西,high
維港峰,灣仔,子山午向,2015,八運,住宅,灣仔皇后大道東,high
修頓花園,灣仔,子山午向,1988,七運,住宅,灣仔軒尼詩道,high
樂聲大廈,灣仔,乾山巽向,1971,六運,住宅,灣仔軒尼詩道,medium
雲地利台,跑馬地,子山午向,1986,七運,住宅,跑馬地雲地利道,high
太古城,鰂魚涌,子山午向,1986,七運,住宅,鰂魚涌太古城道,high
嘉亨灣,西灣河,子山午向,2005,八運,住宅,西灣河太安街,high
維港頌,北角,子山午向,2019,八運,住宅,北角丹拿道,high
柏傲山,天后,卯山酉向,2016,八運,住宅,天后水星街,high
傲龍軒,炮台山,子山午向,2004,八運,住宅,炮台山電氣道,high
港濤軒,北角,午山子向,2008,八運,住宅,北角渣華道,high
康怡花園,鰂魚涌,子山午向,1985,七運,住宅,鰂魚涌康山,high
康山花園,鰂魚涌,子山午向,1987,七運,住宅,鰂魚涌康山,high
南豐新邨,鰂魚涌,子山午向,1978,六運,住宅,鰂魚涌基利路,high
健威花園,北角,子山午向,1981,六運,住宅,北角七姊妹道,high
和富中心,北角,子山午向,1984,七運,住宅,北角和富道,high
城市花園,北角,子山午向,1983,六運,住宅,北角電氣道,high
港運城,北角,子山午向,1996,七運,住宅,北角丹拿道,high
明園大廈,北角,子山午向,1975,六運,住宅,北角明園西街,high
擎天半島,九龍站,子山午向,2003,七運,住宅,九龍站柯士甸道西,high
柏景灣,奧運站,子山午向,2000,七運,住宅,奧運站海庭道,high
浪澄灣,奧運站,子山午向,2005,八運,住宅,奧運站海庭道,high
維港灣,奧運站,子山午向,1999,七運,住宅,奧運站海輝道,high
君匯港,奧運站,子山午向,2006,八運,住宅,奧運站海輝道,high
一號銀海,奧運站,子山午向,2005,八運,住宅,奧運站海輝道,high
瓏璽,奧運站,子山午向,2012,八運,住宅,奧運站海輝道,high
凱帆軒,奧運站,子山午向,2003,七運,住宅,奧運站海輝道,high
帝柏海灣,奧運站,子山午向,2001,七運,住宅,奧運站海庭道,high
奧城西岸,奧運站,子山午向,2007,八運,住宅,奧運站海輝道,high
富榮花園,奧運站,子山午向,1998,七運,住宅,奧運站海庭道,high
海富苑,奧運站,子山午向,1999,七運,住宅,奧運站海庭道,high
別樹華軒,太子,子山午向,2003,七運,住宅,太子彌敦道,high
都匯,太子,子山午向,2011,八運,住宅,太子荔枝角道,high
現崇山,黃大仙,子山午向,2012,八運,住宅,黃大仙睦鄰街,high
譽港灣,黃大仙,子山午向,2011,八運,住宅,黃大仙太子道東,high
天馬苑,黃大仙,子山午向,1986,七運,住宅,黃大仙竹園道,high
富山邨,黃大仙,子山午向,1978,六運,住宅,黃大仙富山道,high
慈愛苑,黃大仙,子山午向,1999,七運,住宅,黃大仙慈雲山道,high
慈正邨,黃大仙,子山午向,1995,七運,住宅,黃大仙慈雲山道,high
慈樂邨,黃大仙,子山午向,1997,七運,住宅,黃大仙慈雲山道,high
慈民邨,黃大仙,子山午向,1994,七運,住宅,黃大仙慈雲山道,high
慈安邨,黃大仙,子山午向,1996,七運,住宅,黃大仙慈雲山道,high
慈康邨,黃大仙,子山午向,2002,七運,住宅,黃大仙慈雲山道,high
鳳德邨,黃大仙,子山午向,1991,七運,住宅,黃大仙鳳德道,high
黃大仙下邨,黃大仙,子山午向,1982,六運,住宅,黃大仙正德街,high
黃大仙上邨,黃大仙,子山午向,2001,七運,住宅,黃大仙正德街,high
美東邨,黃大仙,子山午向,1983,六運,住宅,黃大仙培民街,high
彩雲邨,牛池灣,子山午向,1979,六運,住宅,牛池灣彩雲道,high
啟德花園,黃大仙,子山午向,1998,七運,住宅,黃大仙彩虹道,high
新蒲崗廣場,新蒲崗,子山午向,1997,七運,住宅,新蒲崗崇齡街,high
越秀廣場,新蒲崗,子山午向,1995,七運,住宅,新蒲崗寧遠街,high
康強苑,新蒲崗,子山午向,1999,七運,住宅,新蒲崗康強街,high
馬鞍山中心,馬鞍山,子山午向,1994,七運,住宅,馬鞍山鞍駿街,high
錦英苑,馬鞍山,子山午向,1991,七運,住宅,馬鞍山錦英路,high
富寶花園,馬鞍山,子山午向,1993,七運,住宅,馬鞍山錦英路,high
雅典居,馬鞍山,子山午向,1994,七運,住宅,馬鞍山鞍駿街,high
海典居,馬鞍山,子山午向,1995,七運,住宅,馬鞍山鞍駿街,high
海典灣,馬鞍山,子山午向,2003,七運,住宅,馬鞍山鞍駿街,high
天宇海,馬鞍山,子山午向,2011,八運,住宅,馬鞍山保泰街,high
迎海,馬鞍山,子山午向,2014,八運,住宅,馬鞍山烏溪沙路,high
星漣海,馬鞍山,子山午向,2018,八運,住宅,馬鞍山彩沙街,high
泓碧,馬鞍山,子山午向,2019,八運,住宅,馬鞍山落禾沙里,high
新都城,將軍澳,子山午向,1998,七運,住宅,將軍澳貿業路,high
將軍澳中心,將軍澳,子山午向,2003,七運,住宅,將軍澳唐德街,high
將軍澳廣場,將軍澳,子山午向,2003,七運,住宅,將軍澳貿業路,high
君傲灣,將軍澳,子山午向,2006,八運,住宅,將軍澳唐俊街,high
天晉,將軍澳,子山午向,2012,八運,住宅,將軍澳唐賢街,high
天晉II,將軍澳,子山午向,2014,八運,住宅,將軍澳唐賢街,high
天晉III,將軍澳,子山午向,2015,八運,住宅,將軍澳唐賢街,high
海天晉,將軍澳,子山午向,2017,八運,住宅,將軍澳唐賢街,high
嘉悅,將軍澳,子山午向,2018,八運,住宅,將軍澳至善街,high
Savannah,將軍澳,子山午向,2018,八運,住宅,將軍澳至善街,high
Malibu,將軍澳,子山午向,2018,八運,住宅,將軍澳至善街,high
LP6,將軍澳,子山午向,2019,八運,住宅,將軍澳至善街,high
海茵莊園,將軍澳,子山午向,2021,八運,住宅,將軍澳石角路,high
KOKO HILLS,將軍澳,子山午向,2022,八運,住宅,將軍澳至善街,high
KOKO RESERVE,將軍澳,子山午向,2023,八運,住宅,將軍澳至善街,high
SEA TO SKY,將軍澳,子山午向,2021,八運,住宅,將軍澳至善街,high
日出康城,將軍澳,子山午向,2009,八運,住宅,將軍澳環保大道,high
領都,將軍澳,子山午向,2010,八運,住宅,將軍澳環保大道,high
領峯,將軍澳,子山午向,2011,八運,住宅,將軍澳環保大道,high
領凱,將軍澳,子山午向,2012,八運,住宅,將軍澳環保大道,high
緻藍天,將軍澳,子山午向,2015,八運,住宅,將軍澳環保大道,high
晉海,將軍澳,子山午向,2017,八運,住宅,將軍澳環保大道,high
晉海II,將軍澳,子山午向,2018,八運,住宅,將軍澳環保大道,high
LP10,將軍澳,子山午向,2022,八運,住宅,將軍澳環保大道,high
凱柏峰,將軍澳,子山午向,2023,八運,住宅,將軍澳環保大道,high
維景灣畔,調景嶺,子山午向,2004,八運,住宅,調景嶺彩明街,high
都會駅,調景嶺,子山午向,2006,八運,住宅,調景嶺彩明街,high
城中駅,調景嶺,子山午向,2007,八運,住宅,調景嶺彩明街,high
健明邨,調景嶺,子山午向,2003,七運,住宅,調景嶺景嶺路,high
善明邨,調景嶺,子山午向,2011,八運,住宅,調景嶺彩明街,high
彩明苑,調景嶺,子山午向,2004,八運,住宅,調景嶺彩明街,high
宇晴軒,荔枝角,子山午向,2004,八運,住宅,荔枝角東京街,high
美孚新邨,荔枝角,乾山巽向,1975,六運,住宅,荔枝角寶輪街,high
昇悅居,荔枝角,子山午向,2005,八運,住宅,荔枝角長沙灣道,high
泓景臺,荔枝角,子山午向,2003,七運,住宅,荔枝角道,high
一號西九龍,荔枝角,子山午向,2012,八運,住宅,荔枝角道,high
長沙灣邨,長沙灣,子山午向,2013,八運,住宅,長沙灣發祥街,high
海達邨,長沙灣,子山午向,2021,八運,住宅,長沙灣發祥街,high
元州邨,長沙灣,子山午向,1999,七運,住宅,長沙灣元州街,high
蘇屋邨,長沙灣,子山午向,2016,八運,住宅,長沙灣保安道,high
海麗邨,長沙灣,子山午向,2004,八運,住宅,長沙灣深旺道,high
海盈邨,長沙灣,子山午向,2018,八運,住宅,長沙灣荔盈街,high
愛海頌,深水埗,子山午向,2020,八運,住宅,深水埗荔枝角道,high
匯璽,深水埗,子山午向,2018,八運,住宅,深水埗深旺道,high
青逸軒,青衣,午山子向,2007,八運,住宅,青衣青綠街,high
長安邨,青衣,子山午向,1988,七運,住宅,青衣担杆山路,high
青泰苑,青衣,子山午向,1999,七運,住宅,青衣青康路,high
青華苑,青衣,子山午向,1986,七運,住宅,青衣青康路,high
青盛苑,青衣,子山午向,1986,七運,住宅,青衣青康路,high
青榕臺,青衣,子山午向,2001,七運,住宅,青衣青衣路,high
灝景灣,青衣,子山午向,2003,七運,住宅,青衣青衣路,high
翠怡花園,青衣,子山午向,1989,七運,住宅,青衣楓樹窩路,high
海欣花園,青衣,子山午向,2000,七運,住宅,青衣青衣路,high
