name,district,facing,year_built,yun,property_type,address,confidence
帝景園,中半山,午山子向,1996,七運,住宅,中半山舊山頂道,high
地利根德閣,中半山,午山子向,1995,七運,住宅,中半山地利根德里,high
裕景花園,中半山,午山子向,1988,七運,住宅,中半山司徒拔道,high
愛都大廈,中半山,午山子向,1983,六運,住宅,中半山寶雲道,high
世紀大廈,中半山,午山子向,1999,七運,住宅,中半山堅尼地道,high
地利根德閣3期,中半山,午山子向,2000,七運,住宅,中半山地利根德里,high
曉峰閣,中半山,子山午向,1996,七運,住宅,中半山寶雲道,high
樂天峰,中半山,酉山卯向,2010,八運,住宅,中半山樂活道,high
干德道38號,西半山,酉山卯向,2006,八運,住宅,西半山干德道,high
殷然,西半山,酉山卯向,2016,八運,住宅,西半山堅道,high
敦皓,西半山,酉山卯向,2016,八運,住宅,西半山寶珊道,high
Lexington Hill,西半山,酉山卯向,2014,八運,住宅,西半山堅尼地道,high
Kensington Hill,西半山,酉山卯向,2016,八運,住宅,西半山堅尼地道,high
蔚然,西半山,酉山卯向,2012,八運,住宅,西半山西摩道,high
瀚然,西半山,酉山卯向,2015,八運,住宅,西半山西摩道,high
懿峰,西半山,酉山卯向,2011,八運,住宅,西半山西摩道,high
縉城峰,西半山,酉山卯向,2009,八運,住宅,西半山堅道,high
雍景臺,西半山,酉山卯向,2000,七運,住宅,西半山羅便臣道,high
羅便臣道80號,西半山,酉山卯向,2001,七運,住宅,西半山羅便臣道,high
輝煌豪園,西半山,酉山卯向,2000,七運,住宅,西半山羅便臣道,high
半山壹號,西半山,酉山卯向,2006,八運,住宅,西半山羅便臣道,high
The Icon,西半山,酉山卯向,2010,八運,住宅,西半山干德道,high
Cluny Park,西半山,酉山卯向,2015,八運,住宅,西半山干德道,high
紀雲峰,灣仔,卯山酉向,2011,八運,住宅,灣仔活道,high
壹嘉,灣仔,卯山酉向,2014,八運,住宅,灣仔軒尼詩道,high
匯星壹號,灣仔,卯山酉向,2017,八運,住宅,灣仔皇后大道東,high
尚匯,灣仔,卯山酉向,2012,八運,住宅,灣仔晏頓街,high
嘉薈軒,灣仔,卯山酉向,2008,八運,住宅,灣仔莊士敦道,high
壹環,灣仔,卯山酉向,2014,八運,住宅,灣仔道,high
囍滙,灣仔,卯山酉向,2014,八運,住宅,灣仔皇后大道東,high
星街5號,灣仔,卯山酉向,2006,八運,住宅,灣仔星街,high
THE AVENUE,銅鑼灣,巽山乾向,2015,八運,住宅,銅鑼灣加路連山道,high
yoo Residence,銅鑼灣,巽山乾向,2012,八運,住宅,銅鑼灣禮頓道,high
雋琚,銅鑼灣,巽山乾向,2014,八運,住宅,銅鑼灣加路連山道,high
曦巒,銅鑼灣,巽山乾向,2012,八運,住宅,銅鑼灣希雲街,high
維多利中心,銅鑼灣,巽山乾向,1983,六運,住宅,銅鑼灣興發街,high
柏傲莊,沙田,艮山坤向,2023,八運,住宅,沙田大圍車公廟路,high
柏傲莊II,沙田,艮山坤向,2024,九運,住宅,沙田大圍車公廟路,high
柏傲莊III,沙田,艮山坤向,2024,九運,住宅,沙田大圍車公廟路,high
海日灣,大埔,艮山坤向,2019,八運,住宅,大埔白石角科進路,high
海日灣II,大埔,艮山坤向,2021,八運,住宅,大埔白石角科進路,high
雲滙,大埔,艮山坤向,2019,八運,住宅,大埔白石角科進路,high
嘉熙,大埔,艮山坤向,2019,八運,住宅,大埔白石角科進路,high
天賦海灣,大埔,艮山坤向,2014,八運,住宅,大埔白石角科進路,high
逸瓏灣,大埔,艮山坤向,2015,八運,住宅,大埔白石角科進路,high
溱岸8號,大埔,艮山坤向,2013,八運,住宅,大埔安慈路,high
嵐山,大埔,艮山坤向,2015,八運,住宅,大埔鳳園路,high
鹿茵山莊,大埔,艮山坤向,1998,七運,住宅,大埔鹿山路,high
